comparison_id,treatment,control,scientific_question,changed_factors,same_split,same_cases,same_backbone,same_capacity,same_optimizer,same_checkpoint_rule,same_metric,seed_control,fold_coverage,source_faithful,validity_level,allowed_claim,forbidden_claim,blocker,evidence_path
C0_VS_A0,C0 deterministic stacked input,A0 historical stacked input,How sensitive is nominally the same stacked baseline to protocol/seed implementation?,seed propagation augmentation process count and code revision,yes,yes,yes,yes,yes,yes,yes,different seed regimes,fold0,no,DIAGNOSTIC_ONLY,A0-to-C0 variation demonstrates protocol/randomness sensitivity.,Either score is a reproducible biological effect.,The comparison deliberately changes reproducibility implementation.,docs/FUSION_SCREEN.md; PROJECT_HANDOFF.md
C1_VS_C0,C1 adapter control,C0 stacked control,Does an added adapter screen better under the C-series policy?,adapter capacity and random draw consumption,yes,yes,yes,no,yes,yes,yes,child model seed and single-thread deterministic; no separate data-seed reset at fcdda53,fold0,no,CONTROLLED_SCREEN,C1 exceeded C0 under the controlled-screen policy.,The numerical delta is a strictly paired capacity effect.,Parameter initialization can shift the later augmentation stream in this historical revision.,docs/FUSION_SCREEN.md; commit fcdda534; training logs
C2_VS_C1,C2 CSA-style,C1 adapter control,Does the CSA-style adapter beat a simpler adapter under the C policy?,mechanism and parameter count 2333 vs 97,yes,yes,yes,no,yes,yes,yes,child model seed and single-thread deterministic; no separate data-seed reset at fcdda53,fold0,no,CONTROLLED_SCREEN,C2 did not beat C1 numerically on fold0.,CSA has no value generally or the difference is capacity-isolated.,Capacity differs and only fold0 was used.,docs/FUSION_SCREEN.md; PROJECT_HANDOFF.md
C3_VS_C1,C3 axial,C1 adapter control,Does the axial adapter beat a simpler adapter under the C policy?,mechanism and parameter count 305 vs 97,yes,yes,yes,no,yes,yes,yes,child model seed and single-thread deterministic; no separate data-seed reset at fcdda53,fold0,no,CONTROLLED_SCREEN,C3 did not beat C1 numerically on fold0.,Axial context is ineffective generally.,Capacity differs and only fold0 was used.,docs/FUSION_SCREEN.md; PROJECT_HANDOFF.md
F1_VS_C3,F1 sequential axial then CSA,C3 axial,Does adding sequential CSA to axial pass the screen?,CSA branch capacity,yes,yes,yes,no,yes,yes,yes,child model seed and single-thread deterministic; no separate data-seed reset at fcdda53,fold0,no,CONTROLLED_SCREEN,F1 failed the pre-specified gain criterion.,Fusion is universally harmful.,One fold; capacity and stream are not strictly paired.,docs/FUSION_SCREEN.md; PROJECT_HANDOFF.md
F2_VS_C3,F2 parallel axial/CSA,C3 axial,Does a parallel mixture add useful context on fold0?,CSA branch mixture and parameter count,yes,yes,yes,no,yes,yes,yes,child model seed and single-thread deterministic; no separate data-seed reset at fcdda53,fold0,no,CONTROLLED_SCREEN,F2 exceeded C3 by 0.012862 but not the simpler C1/C2.,Parallel fusion is a validated winner.,It is dominated in accuracy by simpler controls and has no multi-fold evidence.,docs/FUSION_SCREEN.md; PROJECT_HANDOFF.md
D0_CONTROL,D0 centre-descriptor control,stacked 3-slice base,What is the D-series dormant capacity reference?,descriptor/projection capacity,yes,yes,yes,no,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D0 is the locked within-D reference only.,D0 is a center-only 2D model.,The backbone still receives three slices.,docs/SPECTRAL_SLICE_SCREEN.md; nnunet25d/attention/spectral_slice_fusion.py
D1_VS_D0,D1 low-pass persistence,D0 centre-descriptor control,Does the low-frequency slice mode help under matched D policy?,context mode only,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D1 improved D0 by 0.015771 on fold0.,Low-pass context generalizes or real neighbours beat center-only.,Only one fold and both models use three-slice inputs.,docs/SPECTRAL_SLICE_SCREEN.md; PROJECT_HANDOFF.md
D2_VS_D0,D2 signed direction,D0 centre-descriptor control,Does orientation-sensitive difference help under matched capacity?,context mode only,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D2 underperformed D0 on fold0.,Signed direction is universally harmful.,Only one repeatedly screened fold.,docs/SPECTRAL_SLICE_SCREEN.md; PROJECT_HANDOFF.md
D3_VS_D0,D3 curvature gate,D0 centre-descriptor control,Does gated curvature help?,context mode and gate capacity,yes,yes,yes,no,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D3 did not pass the D screen.,Curvature has no general value.,Capacity is not matched and only fold0 was used.,docs/SPECTRAL_SLICE_SCREEN.md
D4_VS_D0,D4 all orthogonal bands,D0 centre-descriptor control,Does the complete spectrum help at matched adapter count?,context mode only,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D4 did not improve D0 on fold0.,The orthogonal representation is invalid generally.,Only one fold and no external confirmation.,docs/SPECTRAL_SLICE_SCREEN.md
D5_VS_D4,D5 adaptive oriented,D4 ungated all bands,Does adaptive band weighting help?,adaptive weights and capacity,yes,yes,yes,no,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D5 is an oriented adaptive fold0 ablation.,Adaptive selection generalizes.,Capacity differs and only fold0 was used.,docs/SPECTRAL_SLICE_SCREEN.md
D6_VS_D5,D6 swap-invariant average,D5 oriented adaptive,Does hard swap invariance alter performance?,orientation handling and two versus one backbone passes,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0,no,CONTROLLED_SCREEN,D6 obtained the highest D-screen score but used two full backbone passes.,D6 is a fair one-pass efficiency winner or ordinary TTA alone explains the gain.,Compute and invariance training differ; only fold0.,docs/SPECTRAL_SLICE_SCREEN.md; direction-probe summaries
E1_VS_E0_SEED3407,E1 stable symmetric context,E0 symmetric capacity control,Does stable context help without disagreement?,residual source only,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0 one seed,no,CONTROLLED_SCREEN,E1 did not improve E0 for seed3407.,Neighbour context is useless.,Both use three slices and this is one seed/fold.,docs/SYMMETRIC_RELIABILITY_SCREEN.md
E2_VS_E0_SEED3407,E2 reliability gate,E0 symmetric capacity control,Does the disagreement-aware gate help under exact capacity matching?,gate inputs and residual source only,yes,yes,yes,yes,yes,yes,yes,model seed 3407 data seed 1003410 single-thread epoch-indexed,fold0 one seed,no,CONTROLLED_SCREEN,E2 improved nnU-Net summary Dice by 0.012375 for seed3407.,E2 is a stable winner or neighbours beat center-only.,Later seeds reverse the summary effect and both arms use three slices.,docs/SYMMETRIC_RELIABILITY_SCREEN.md; symmetric_e0_e2_summary.csv
E2_VS_E0_3SEED,E2 reliability gate,E0 symmetric capacity control,Is the E2 mechanism stable to initialization on fold0?,mechanism only,yes,yes,yes,yes,yes,yes,yes,paired seeds 3407 1234 5678 with fixed data seed 1003410,fold0 three seeds,no,CONTROLLED_SCREEN,E2 is not stable: summary-Dice deltas change sign and GT-present effects are heterogeneous.,Three seeds establish patient-split generalization or neighbour value versus center-only.,Seeds are not independent cohorts and both arms use three slices.,ORACLE_ANALYSIS_REPORT.md; oracle_decision.json
AXIAL_VS_E2_3SEED,controlled axial,E2 reliability gate,Which controlled 3-slice module has the better fold0 accuracy-cost profile across seeds?,architecture and parameter count,yes,yes,yes,no,yes,yes,yes,paired model seeds and fixed data seed,fold0 three seeds,no,CONTROLLED_SCREEN,The controlled axial comparator is also unstable across seeds.,A mechanism-specific causal difference between axial and reliability gating.,Not a matched mechanism control and only one patient split.,server_backups/controlled_multiseed_fold0_2026-07-24
E0_E2_CASE_CLASS_ORACLE,GT-guided best of E0/E2 per patient-class,best complete E0 or E2,Is there undeployable upper-bound complementarity?,uses ground truth at selection time,yes,yes,not applicable,not applicable,not applicable,not applicable,diagnostic formula verified with patient clustering,fold0 three seeds,no,DIAGNOSTIC_ONLY,Oracle headroom exists but is not repeatably learnable by the tested LOSO selector.,Oracle Dice is a model score deployable performance or SOTA result.,GT leakage by definition and LOSO selector failed.,reports/symmetric_e0_e2_multiseed_oracle_2026-07-26
CSAM_RELATION,A2 harmonized CSAM-style gate,published CSAM,Is the current result a direct reproduction test of CSAM?,backbone slice count feature location optimizer loss epochs input size dataset,not comparable,not comparable,no,no,no,no,no,current A2 seed uncontrolled,fold0 BHSD versus published tasks,no,INVALID_COMPARISON,A2 can be discussed as a CSAM-inspired module ablation.,The BHSD A2 result confirms or contradicts the published CSAM result.,A2 excludes source components and uses a different end-to-end protocol.,docs/ATTENTION_REPRODUCTION_POLICY.md; https://arxiv.org/abs/2311.04942
CSANET_RELATION,A5 harmonized CSA-style module,published CSA-Net,Is the current result a direct reproduction test of CSA-Net?,backbone feature grid pretrained weights optimizer loss epochs input size dataset,not comparable,not comparable,no,no,no,no,no,current A5 seed uncontrolled,fold0 BHSD versus published MRI tasks,no,INVALID_COMPARISON,A5 can be discussed as a CSA-inspired harmonized ablation.,The BHSD A5 result refutes or reproduces CSA-Net.,Current A5 is not source-faithful and published tasks differ.,docs/ATTENTION_REPRODUCTION_POLICY.md; https://arxiv.org/abs/2405.00130
ACSFORMER_RELATION,D/E qualitative prior-art relation,published ACSFormer,Do current screens directly conflict with ACSFormer?,dataset labels architecture split test protocol and metric,not comparable,not comparable,no,no,no,no,no,not comparable,fold0 BHSD versus INSTANCE train/val/test,no,INVALID_COMPARISON,ACSFormer is relevant prior art for adaptive inter-slice interaction.,Current fold0 screens contradict ACSFormer performance or novelty.,No source-faithful reproduction and different dataset/evaluation.,docs/SPECTRAL_SLICE_SCREEN.md; https://www.sciencedirect.com/science/article/pii/S0031320325015584
SDC_UNET_RELATION,D-series slice-spectrum ablation,published SDC-UNet,Does D-series reproduce slice difference convolution?,representation backbone preprocessing dataset and protocol,not comparable,not comparable,no,no,no,no,no,not comparable,fold0 BHSD versus published ICH setup,no,INVALID_COMPARISON,SDC-UNet establishes slice differencing as prior art.,D-series is a direct SDC-UNet replication or novelty proof.,The representation and complete pipeline differ.,docs/SPECTRAL_SLICE_SCREEN.md; https://doi.org/10.15938/j.jhust.2025.03.001
